1511 2331734 1894
1512 2333628 1774
1513 2335402 5374
1514 2340776 5464
1515 2346240 2501
1516 2348741 3412
1517 2352153 4776
1518 2356929 3727
1519 2360656 3380
1520 2364036 15488
1521 2379524 4144
1522 2383668 3597
1523 2387265 10157
1524 2397422 1682
1525 2399104 1503
1526 2400607 5868
1527 2406475 10960
1528 2417435 5254
1529 2422689 3856
1530 2426545 2199
1531 2428744 1310
1532 2430054 668
1533 2430722 1534
1534 2432256 4653
1535 2436909 2739
1536 2439648 1955
1537 2441603 8795
1538 2450398 6275
1539 2456673 5195
1540 2461868 1976
1541 2463844 6478
1542 2470322 2972
1543 2473294 2942
1544 2476236 7514
1545 2483750 1700
1546 2485450 2120
1547 2487570 2595
1548 2490165 1702
1549 2491867 1604
1550 2493471 10921
1551 2504392 7618
1552 2512010 3384
1553 2515394 3041
1554 2518435 1903
1555 2520338 5578
1556 2525916 8189
1557 2534105 3211
1558 2537316 581
1559 2537897 3660
1560 2541557 5127
1561 2546684 6913
1562 2553597 925
1563 2554522 2367
1564 2556889 4372
1565 2561261 3556
1566 2564817 2909
1567 2567726 5630
1568 2573356 5092
1569 2578448 7358
1570 2585806 1128
1571 2586934 3943
1572 2590877 1351
1573 2592228 7351
1574 2599579 3297
1575 2602876 4386
1576 2607262 4880
1577 2612142 2349
1578 2614491 6083
1579 2620574 2283
1580 2622857 1712
1581 2624569 15316
1582 2639885 9301
1583 2649186 5397
1584 2654583 1375
1585 2655958 5700
1586 2661658 1397
1587 2663055 6568
1589 2669623 4613
1590 2674236 9772
1591 2684008 1735
1592 2685743 3481
1593 2689224 15710
1594 2704934 9601
1595 2714535 3913
1596 2718448 7900
1597 2726348 13783
1598 2740131 3801
1599 2743932 14095
1601 2758027 1966
1602 2759993 3131
1603 2763124 2448
1604 2765572 7784
1605 2773356 2661
1606 2776017 2012
1607 2778029 6215
1608 2784244 4243
1609 2788487 4363
1610 2792850 3832
1611 2796682 6885
1612 2803567 3602
1613 2807169 3282
1614 2810451 4622
1615 2815073 5264
1616 2820337 4441
1617 2824778 3417
1618 2828195 4119
1619 2832314 1137
1620 2833451 7945
1621 2841396 4569
1622 2845965 4387
1623 2850352 4372
1624 2854724 4084
1625 2858808 5562
1626 2864370 7796
1627 2872166 2344
1628 2874510 2125
1629 2876635 2948
1630 2879583 2942
1631 2882525 4612
1632 2887137 5427
1633 2892564 3166
1634 2895730 4086
1635 2899816 5458
1636 2905274 4680
1637 2909954 5116
1638 2915070 2488
1639 2917558 2726
1640 2920284 2966
1641 2923250 8260
1642 2931510 1226
1643 2932736 768
1644 2933504 201
1645 2933705 4146
1646 2937851 3342
1647 2941193 1542
1648 2942735 9947
1649 2952682 3066
1650 2955748 8753
1651 2964501 3961
1652 2968462 5243
1653 2973705 4930
1654 2978635 8582
1655 2987217 4795
1656 2992012 3918
1657 2995930 519
1658 2996449 4684
1659 3001133 4392
1660 3005525 3812
1661 3009337 5823
1662 3015160 7215
1663 3022375 6467
1664 3028842 2571
1665 3031413 3358
1666 3034771 965
1667 3035736 22909
1668 3058645 18579
1669 3077224 2581
1670 3079805 8475
1671 3088280 1644
1672 3089924 2392
1673 3092316 7134
1674 3099450 3337
1675 3102787 11012
1676 3113799 2873
1677 3116672 3509
1678 3120181 3220
1679 3123401 4834
1680 3128235 7263
1681 3135498 6901
1682 3142399 6190
1683 3148589 1072
1684 3149661 2783
1685 3152444 3444
1686 3155888 1044
